,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
0,474.32,4.0,0,1,10,91.0,1,1.11,0.63,17.942926962147965,20.1548895790265,2.17556,41.39624,0,0,0,0
1,169.9,2.0,1,0,10,88.0,1,1.75,0.12,10.910462389566376,17.48448901470924,2.14906,41.38714,0,1,1,0
2,161.98,4.0,0,1,9,88.0,1,1.67,0.08,11.72659467952677,18.50581364330432,2.15357,41.37859,0,1,0,0
3,367.96,3.0,0,1,10,91.0,1,1.48,0.09,13.63460311308965,20.837356649155502,2.16839,41.3739,0,0,0,0
4,196.9,3.0,1,0,9,91.0,1,1.86,0.27,11.793677821737989,17.440874255682875,2.15238,41.37699,0,1,0,0
5,330.95,3.0,0,1,9,100.0,2,2.57,0.7,13.328889426061002,11.56817834232667,2.18197,41.40842,0,0,0,0
6,141.27,3.0,0,1,9,86.0,1,1.65,0.09,11.676252971110106,18.071120306585524,2.15342,41.37912,0,1,0,0
7,173.39,2.0,0,0,9,96.0,1,1.47,0.59,15.282386601578583,16.570539622496806,2.18195,41.39691,0,1,0,0
8,225.75,4.0,1,0,9,84.0,1,0.96,0.36,26.9883344316406,41.50642022490588,2.17742,41.3805,0,1,0,0
9,150.58,2.0,1,0,9,91.0,1,1.82,0.29,12.310251624767464,17.74775082619196,2.157,41.374,0,1,0,0
10,194.34,2.0,1,0,9,84.0,1,1.01,0.37,18.08104830766091,26.184507760702463,2.16895,41.37806,0,1,0,0
11,190.84,2.0,1,0,10,98.0,1,2.21,0.38,20.09906189948204,14.247942632909757,2.17853,41.40602,0,1,1,0
12,387.51,2.0,1,0,9,91.0,1,1.55,0.58,13.433296057933983,17.183660026085313,2.18778,41.3911,0,1,0,0
13,248.56,2.0,0,0,10,95.0,1,0.74,0.27,19.31236158592515,25.221350345211707,2.17806,41.38993,0,1,1,0
14,136.38,3.0,0,1,9,84.0,1,1.69,0.1,11.668683598680914,18.18310347674897,2.15326,41.37865,0,1,0,0
15,118.0,2.0,1,0,8,84.0,1,2.58,0.05,9.880957310414166,12.989122765170771,2.14385,41.37486,0,1,0,0
16,150.58,2.0,1,0,8,87.0,1,0.25,0.25,19.577067261739323,31.65923717044896,2.16704,41.38741,0,1,0,0
17,1041.5,6.0,0,0,10,99.0,3,1.89,0.14,45.5034127353609,17.198103676104108,2.173,41.404,0,0,1,0
18,474.32,4.0,0,1,10,91.0,1,1.2,0.58,17.478754762204172,18.989993215790637,2.1771700000000003,41.39646,0,0,0,0
19,440.8,4.0,0,1,9,92.0,1,1.62,0.59,15.722579012403944,20.575038468264072,2.16091,41.4,0,0,0,0
20,111.02,2.0,0,1,9,90.0,1,1.67,0.31,35.72191568588916,17.521172234248493,2.173,41.402,0,1,0,0
21,691.93,4.0,0,1,10,98.0,2,1.07,0.78,18.91912065627156,22.151759855128542,2.17052,41.39675,0,0,1,0
22,141.27,2.0,1,0,8,89.0,1,1.77,0.44,12.151851987561471,17.501672068265727,2.16554,41.37151,0,1,0,0
23,181.77,2.0,1,0,9,89.0,1,0.89,0.24,30.835648182546784,45.543214330453104,2.17594,41.38044,0,1,0,0
24,190.84,2.0,1,0,9,93.0,1,1.34,0.4,15.1313364311845,17.433491183700394,2.18211,41.39508,0,1,0,0
25,230.18,3.0,1,0,10,97.0,1,0.65,0.29,19.27049989105688,24.75787438626475,2.17636,41.39052,0,1,1,0
26,170.13,2.0,0,0,10,94.0,1,0.99,0.34,26.30349029251331,47.47759989320817,2.1768400000000003,41.37987,0,1,0,0
27,237.39,2.0,0,0,9,95.0,1,0.83,0.13,46.78571771443056,43.57792458727085,2.17441,41.38046,0,1,0,0
28,387.51,2.0,0,0,9,93.0,1,1.12,0.31,26.337387232894766,39.60061343868173,2.18258,41.38353,0,1,0,0
29,143.37,2.0,1,0,10,88.0,1,1.01,0.39,21.013641607477854,28.207972373245127,2.17135,41.37813,0,1,0,0
30,515.05,5.0,0,1,9,88.0,2,0.72,0.18,31.60819514668212,33.615389195440656,2.1713,41.38074,0,0,0,0
31,139.87,2.0,1,0,10,94.0,1,1.82,0.16,64.90488001213873,16.9515130080433,2.17345,41.403290000000005,0,1,1,0
32,150.58,2.0,1,0,10,95.0,1,0.96,0.24,18.19175126629493,24.348143538535037,2.18096,41.38969,0,1,0,0
33,159.66,2.0,0,1,8,86.0,1,1.75,0.21,11.908473947887028,17.95256959931227,2.154,41.377,0,1,0,0
34,229.25,2.0,1,0,9,92.0,1,0.75,0.43,16.475018097962668,25.895497420876183,2.1647,41.38172,0,1,0,0
35,156.17,2.0,1,0,10,92.0,1,1.43,0.16,12.244163888759092,19.140985818474007,2.1561,41.37969,0,1,0,0
36,156.17,2.0,1,0,10,95.0,1,1.47,0.13,12.172719512931623,18.97993308892669,2.15595,41.37922,0,1,0,0
37,127.31,2.0,1,0,7,85.0,1,1.84,0.53,17.536619987709436,14.599815226362308,2.1811700000000003,41.40143,0,1,0,0
38,173.62,2.0,0,0,9,86.0,1,0.75,0.05,70.38093295983879,41.44197024708462,2.17354,41.38089,0,1,0,0
