,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
0,570.1,2.0,0,0,10,98.0,1,5.3,1.59,14.571793090483984,8.372723823208341,0,0,0,0
1,297.98,2.0,1,0,10,99.0,1,2.2,0.38,38.50162977905941,17.215960911780712,0,1,1,0
2,336.79,2.0,1,0,10,96.0,1,2.32,0.45,29.770763610226748,17.172462297605247,0,1,0,0
3,226.72,2.0,1,0,10,99.0,1,5.71,1.72,13.602958803523745,8.097599780291983,0,1,1,0
4,256.36,3.0,0,0,9,98.0,1,3.26,0.83,22.90231664089296,13.16664854460184,0,1,0,0
5,239.89,2.0,0,0,10,100.0,1,5.09,1.81,15.759903858383742,8.715433065200003,0,1,0,0
6,324.09,2.0,0,0,10,100.0,1,4.6,0.3,19.70241021747569,12.215122440864391,0,1,0,0
7,155.7,2.0,1,0,10,95.0,1,5.1,1.01,14.8937257738303,8.123306318426883,0,1,0,0
8,129.35,4.0,1,0,9,93.0,1,4.53,1.77,17.89528862962305,9.69094152350034,0,1,0,0
9,246.01,3.0,0,1,8,74.0,0,3.75,0.42,23.08081273058569,13.63801972982952,0,0,0,0
10,220.14,2.0,0,1,9,79.0,0,3.79,0.38,22.496628692153777,13.262442825389025,0,0,0,0
11,362.9,2.0,1,0,8,83.0,1,4.64,0.5,18.77336556056282,11.898816647826454,0,0,0,0
12,207.44,2.0,0,0,4,80.0,1,5.95,1.74,13.410018969093976,7.657710271672656,0,1,0,0
13,285.05,2.0,1,0,9,97.0,1,3.22,1.15,23.278010018443847,11.411590023730508,0,1,1,0
14,505.19,4.0,0,1,9,90.0,3,4.49,1.97,17.79168776459168,9.42453294978324,0,0,0,0
15,142.52,2.0,0,0,10,96.0,1,4.32,0.81,18.27598370554208,10.040301909509784,0,1,0,0
16,310.92,2.0,0,0,9,93.0,1,5.33,1.75,15.05114090900839,8.391125495098455,0,1,0,0
17,608.9,4.0,0,0,10,90.0,2,3.59,0.2,23.76183873618198,14.305366259628387,0,0,0,0
18,207.44,2.0,1,0,10,99.0,1,5.12,1.67,15.093389475804951,8.337533119483867,0,1,1,0
19,194.5,2.0,1,0,10,95.0,1,3.7,0.35,21.8396664720624,13.293187344805393,0,1,0,0
20,512.95,4.0,0,0,9,95.0,2,3.55,0.68,22.344805221628096,12.25347249730651,0,0,0,0
21,206.03,2.0,0,1,10,97.0,1,3.22,0.47,23.95883895260204,13.936223153216757,0,1,1,0
22,213.55,2.0,0,1,9,96.0,1,3.07,0.5,25.05339998231248,14.40343075685674,0,1,1,0
23,215.2,3.0,0,1,9,89.0,1,3.48,0.23,24.59646969150696,14.69403735343283,0,1,0,0
24,145.35,2.0,1,0,10,100.0,1,5.69,0.92,13.301150058036718,7.16339282163887,0,1,1,0
25,2173.85,6.0,1,0,10,93.0,3,4.91,0.69,18.40240403781264,10.148534992145612,0,0,0,0
26,271.88,5.0,1,0,10,96.0,1,3.78,0.77,19.97251555914092,12.993382211599789,0,1,0,0
27,220.37,2.0,1,0,9,91.0,1,3.78,0.78,19.93651212124449,12.95575495993672,0,1,0,0
28,362.66,2.0,1,0,9,91.0,1,5.45,1.06,15.129721517220275,8.526019898232814,0,0,0,0
29,271.88,3.0,0,1,9,93.0,1,4.19,0.28,25.07978332704638,13.822134980952464,0,0,0,0
30,207.44,2.0,1,0,9,89.0,1,5.94,1.34,12.992831955476245,7.742343989523667,0,1,0,0
31,156.64,2.0,0,1,9,92.0,1,4.47,0.31,17.339550769188985,9.630026839715429,0,1,0,0
32,265.53,2.0,1,0,10,100.0,1,5.4,1.48,14.261947034476483,8.189522352421932,0,1,0,0
33,233.31,2.0,1,0,9,92.0,1,1.32,0.19,50.95352100586064,18.227166518397688,0,1,0,0
34,540.23,2.0,0,0,10,97.0,1,1.94,0.23,48.3816306713998,19.94206629259205,0,0,0,0
35,466.38,3.0,0,0,8,76.0,0,3.06,1.07,24.30739477665933,11.83789643428975,0,0,0,0
36,139.7,2.0,1,0,10,98.0,1,4.77,0.92,18.321223958673983,10.25639858745338,0,1,0,0
37,467.56,2.0,1,0,10,96.0,1,4.87,2.17,16.311484964403622,9.050386856236152,0,0,1,0
38,150.05,2.0,1,0,9,91.0,1,4.22,0.51,27.466401087729253,12.692886043513022,0,1,0,0
39,265.76,3.0,0,0,10,96.0,0,4.88,1.09,17.25443342260861,9.520814860762156,0,0,0,0
40,220.37,4.0,0,0,10,94.0,1,6.86,0.53,12.498028436510422,7.519596740919956,0,1,0,0
41,173.57,2.0,0,1,10,95.0,1,5.58,0.68,13.576685469855374,7.265151614885131,0,1,1,0
42,274.7,2.0,0,0,10,99.0,1,3.56,0.8,20.802562674007817,12.322818401638791,0,1,1,0
43,181.57,2.0,0,0,9,97.0,1,6.33,2.28,12.434842828206875,7.3981092070779075,0,1,1,0
44,463.79,4.0,0,1,7,71.0,2,3.42,0.07,25.45322253048544,15.630796085441627,0,0,0,0
45,259.18,2.0,0,0,9,91.0,1,4.29,0.3,20.916372532278796,13.1510727825865,0,1,0,0
46,246.24,2.0,0,1,10,90.0,0,2.15,0.4,31.27583516689777,18.465472699921104,0,0,0,0
47,134.53,2.0,1,0,10,94.0,1,7.3,1.39,11.431657761738762,6.691001715226849,0,1,0,0
48,121.83,2.0,0,1,9,93.0,4,4.37,0.2,23.31288133998961,10.279629069479784,0,1,0,0
49,285.05,4.0,1,0,10,96.0,1,3.98,0.94,19.821569055054944,10.861228620147996,0,1,1,0
50,259.18,2.0,0,0,10,99.0,1,4.12,0.43,18.3534182672059,10.656712686611211,0,1,0,0
51,262.94,2.0,1,0,10,99.0,0,3.79,0.26,22.357031287502064,13.112631246645073,0,1,1,0
52,431.34,2.0,1,0,10,100.0,1,3.23,0.79,23.189970347110624,13.363811351837915,0,1,0,0
53,246.24,2.0,0,1,10,96.0,1,2.54,0.33,30.33145362105387,17.674576752431435,0,1,0,0
54,652.88,6.0,0,1,9,77.0,2,3.42,0.21,24.93863369238256,14.726707547222524,0,0,0,0
55,2180.44,6.0,1,0,9,97.0,3,4.95,0.65,18.50804829916237,10.029058710894324,0,0,0,0
56,318.68,4.0,0,1,8,89.0,1,6.89,0.48,12.456915013410656,7.542689786273075,0,0,0,0
57,656.65,4.0,0,1,9,87.0,1,3.31,0.15,25.52676197622904,15.578910339652388,0,0,0,0
58,269.53,2.0,0,1,9,93.0,1,0.45,0.14,64.60863419212113,48.94954681510531,0,1,0,0
59,900.3,6.0,0,1,9,85.0,2,3.47,0.11,24.559894235655914,15.422772382075673,0,0,0,0
60,269.53,2.0,0,1,9,92.0,1,0.47,0.07,64.59880485584274,46.98541945061585,0,1,0,0
61,251.18,2.0,0,0,10,100.0,1,4.71,1.09,16.042078916585414,8.578722821153164,0,0,0,0
62,262.94,4.0,0,0,9,93.0,1,4.88,1.09,15.556009298485634,8.4182625681859,0,0,0,0
63,453.44,6.0,0,1,9,90.0,2,4.47,0.17,17.123595965622894,9.96702407858324,0,0,0,0
64,182.51,2.0,0,1,9,91.0,1,3.51,1.01,21.192221932676045,12.17922330348407,0,1,0,0
65,132.18,2.0,1,0,10,99.0,1,8.67,1.67,9.324646270392806,5.376597931679616,0,1,1,0
66,113.83,2.0,0,0,10,96.0,1,4.87,0.38,15.326316848273358,8.4747769512754,0,1,1,0
67,187.68,2.0,0,1,9,92.0,1,3.43,1.02,21.68559654712396,12.44325107916278,0,1,0,0
68,471.55,4.0,0,1,8,81.0,1,4.74,0.28,19.045424051896216,11.740786189136118,0,0,0,0
69,500.01,4.0,0,1,8,86.0,1,4.59,0.32,19.64647927305164,12.146288071951338,0,0,0,0
70,479.32,4.0,0,1,9,87.0,1,4.7,0.25,19.26078863969934,11.902421531441355,0,0,0,0
71,173.57,3.0,0,1,9,94.0,1,5.46,0.57,13.839627566025973,7.398268763824349,0,1,1,0
72,422.4,4.0,0,1,10,93.0,2,3.5,1.01,21.30095544497044,12.204474648859613,0,1,0,0
73,207.44,2.0,0,0,10,100.0,1,4.72,1.71,17.163925829903317,9.32659820174075,0,1,0,0
74,241.07,2.0,0,1,9,91.0,1,3.75,0.27,22.640897394957555,13.307748380585377,0,1,0,0
75,168.4,2.0,1,0,9,94.0,0,5.51,0.57,14.7309676341331,8.41840790910771,0,1,0,0
76,722.97,6.0,0,1,8,77.0,2,4.49,0.45,19.380398447555987,13.415482831454137,0,0,0,0
77,168.4,2.0,1,0,10,90.0,1,4.78,0.26,19.812855297309437,11.963736732251476,0,1,0,0
78,285.05,3.0,1,0,9,95.0,1,4.19,0.73,18.6916967633512,10.281942234234812,0,1,1,0
