,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
0,156.87,2.0,1,0,10,95.0,1,2.98,1.6,6.230648241688873,15.191486355849277,12.48654,41.92498,0,1,1,0
1,172.77,2.0,1,0,9,80.0,1,0.94,0.65,10.696886702768095,27.24920796542156,12.49627,41.90801,0,1,0,0
2,277.75,4.0,0,1,9,90.0,1,2.2,0.49,15.328407972396,35.40036062623383,12.477,41.907,0,0,0,0
3,444.91,6.0,1,0,9,92.0,2,2.7,1.3,17.85209200321661,44.32552236742629,12.46969,41.90019,0,0,0,0
4,131.39,3.0,1,0,9,91.0,1,1.3,0.87,7.026474945977973,18.21563388724496,12.51544,41.89463,0,1,0,0
5,182.12,4.0,1,0,9,89.0,2,1.29,0.87,7.046633102806607,18.299377979199765,12.51535,41.8947,0,0,0,0
6,117.6,2.0,0,1,9,90.0,1,1.88,0.2,5.450951573699664,15.247734214609007,12.51798,41.91309,0,1,0,0
7,184.46,3.0,0,0,9,92.0,1,4.24,0.51,8.524553877176706,21.09002140330009,12.45359,41.9125,0,0,0,0
8,147.52,2.0,0,0,9,94.0,1,3.38,0.61,13.288527672200397,31.95600852106985,12.46183,41.90463,0,1,1,0
9,186.57,2.0,0,1,10,96.0,0,5.68,0.99,5.376330942084553,12.205602271587445,12.43471,41.9094,0,0,0,0
10,184.46,2.0,1,0,9,86.0,1,4.58,0.55,8.794287043583767,17.306040727392197,12.44711,41.89905,0,0,0,0
11,179.79,4.0,1,0,9,91.0,1,0.97,0.69,9.82839315937605,27.04668525938092,12.498,41.909,0,0,0,0
12,101.23,4.0,1,0,9,92.0,1,4.32,0.42,9.990363490839044,21.4218358120182,12.45154,41.90982,0,1,0,0
13,426.44,2.0,0,1,10,100.0,1,1.87,0.16,17.125901240098013,34.75240906227406,12.48132,41.90718,0,0,0,0
14,182.36,5.0,0,0,9,87.0,0,4.56,0.45,5.133568150426252,14.123891105606589,12.481,41.863,0,0,0,0
15,107.31,3.0,1,0,10,94.0,1,4.52,0.4,5.157274236638672,14.032363361317376,12.48156,41.86328,0,1,1,0
16,253.66,3.0,0,1,9,88.0,1,0.9,0.09,17.548149390942374,39.34961602436234,12.49366,41.89585,0,0,0,0
17,288.27,4.0,0,1,9,94.0,1,0.98,0.03,18.70977884582857,37.22049477391854,12.49327,41.89518,0,0,0,0
18,255.77,5.0,0,1,9,88.0,2,3.95,1.13,6.927389868182631,19.76961241760196,12.46871,41.8756,0,0,0,0
19,341.1,4.0,0,1,10,97.0,1,1.96,1.05,21.522776510427185,38.06644515027969,12.48,41.895,0,0,1,0
20,213.22,4.0,1,0,10,98.0,1,4.59,0.32,9.644856768264695,18.503750428176115,12.44718,41.90461,0,0,1,0
21,184.46,2.0,1,0,9,91.0,1,1.11,0.84,10.169547383022827,25.417330236739527,12.49613,41.90977,0,1,0,0
22,111.75,2.0,1,0,10,95.0,1,2.68,0.77,6.458119814213241,15.67718661235131,12.50772,41.87711,0,1,1,0
23,111.75,3.0,1,0,9,97.0,1,2.76,0.84,6.319401434579201,15.774184083039442,12.50764,41.87636,0,1,1,0
24,262.78,2.0,0,1,9,93.0,1,2.73,1.58,16.358761634449664,44.44392814411884,12.47,41.896,0,0,0,0
25,516.21,4.0,1,0,10,99.0,2,1.89,0.18,18.13454885077857,39.66625698220226,12.48077,41.90652,0,0,1,0
26,412.64,5.0,1,0,10,100.0,2,2.78,1.42,16.860039002020585,44.406885215754095,12.46882,41.89888,0,0,1,0
27,170.67,4.0,0,1,8,82.0,1,1.16,1.06,6.710328438786976,17.99697533025825,12.51622,41.90002,0,0,0,0
28,222.34,3.0,0,1,10,96.0,1,2.65,0.74,13.883397170960809,34.832423329703246,12.47101,41.9059,0,1,0,0
29,103.8,2.0,1,0,10,93.0,1,4.77,0.28,8.345605455872999,17.944899574823303,12.44513,41.90571,0,1,0,0
30,190.07,4.0,1,0,10,96.0,1,1.63,1.19,8.65509529582017,20.402110190962013,12.497,41.915,0,0,1,0
31,190.07,4.0,0,1,9,92.0,1,2.25,0.91,25.53325305203768,50.1971345514926,12.47514,41.90063,0,0,0,0
32,207.61,5.0,1,0,9,95.0,2,4.48,0.37,5.195581348556472,14.121486020694002,12.48168,41.86361,0,0,1,0
33,182.12,6.0,1,0,9,89.0,1,2.88,1.22,15.90294972857963,39.99389520077314,12.46749,41.90058,0,0,0,0
34,182.12,6.0,1,0,9,88.0,1,2.91,1.25,15.634139701818365,38.25888372660326,12.46716,41.90032,0,0,0,0
35,155.71,4.0,1,0,10,90.0,1,7.7,0.42,3.3368172445277224,8.089994867057309,12.41,41.908,0,0,0,0
36,368.69,5.0,0,1,9,85.0,2,2.52,1.39,20.572091694026508,52.930942026015,12.47234,41.89673,0,0,0,0
37,173.01,4.0,0,1,10,97.0,1,3.6,0.43,7.25410870945449,20.405307915504256,12.47743,41.87432,0,1,1,0
38,96.79,2.0,1,0,10,98.0,1,5.46,1.54,5.0755087736123645,12.2355616960052,12.44207,41.92074,0,1,1,0
39,94.45,2.0,1,0,10,99.0,1,5.44,1.6,5.0506256009056365,12.156334738081966,12.44274,41.92142,0,1,1,0
40,472.73,4.0,1,0,10,100.0,1,1.43,0.27,17.916281581381632,36.54765866235405,12.48592,41.90494,0,0,0,0
41,161.55,2.0,0,0,10,100.0,1,6.3,0.33,3.479138463739485,9.362389590804876,12.478,41.84712,0,1,0,0
42,126.25,2.0,0,1,9,86.0,1,0.23,0.34,9.904664786849352,25.32867497967012,12.50473,41.90181,0,1,0,0
43,111.75,2.0,1,0,10,99.0,1,4.75,2.05,4.204539926414632,10.360201686139892,12.50522,41.8582,0,1,1,0
44,414.98,4.0,0,0,10,96.0,1,2.53,1.31,24.09622128361885,71.5252539215626,12.472,41.898,0,0,1,0
45,227.01,6.0,0,1,10,86.0,2,0.9,0.45,16.807909827016083,36.55790358888898,12.49158,41.89951,0,0,0,0
46,138.41,3.0,0,1,8,65.0,1,5.67,0.48,3.938806632683903,10.73120171454655,12.48097,41.852340000000005,0,1,0,0
47,173.01,6.0,0,0,10,98.0,2,6.51,0.27,4.307215212896422,10.61265850732095,12.42391,41.90447,0,0,1,0
48,97.73,2.0,1,0,10,95.0,1,4.29,2.1,6.899551166027116,17.816379403605318,12.458,41.881,0,1,1,0
49,236.13,2.0,1,0,10,99.0,1,3.88,1.12,7.171761412681793,19.436759371959347,12.46882,41.87652,0,0,0,0
50,138.41,2.0,0,0,10,98.0,1,4.56,2.18,6.222898970612461,16.146231761944136,12.45629,41.87836,0,1,1,0
51,184.46,2.0,1,0,10,98.0,1,3.06,0.23,10.839049975308974,30.40861511089488,12.46728,41.90968,0,1,1,0
52,265.12,2.0,1,0,10,100.0,1,5.44,0.41,4.134567771171554,11.28971566216284,12.48235,41.8542,0,0,0,0
53,484.18,6.0,0,1,8,89.0,2,1.5,0.24,18.872536908681536,36.323789478941066,12.485,41.905,0,0,0,0
54,207.84,3.0,0,0,10,96.0,1,1.6,0.64,14.500179954817575,23.54548790656433,12.497,41.887,0,0,1,0
55,207.61,4.0,0,0,10,97.0,1,5.31,0.8,5.957079283519091,13.60531302598808,12.44,41.912,0,0,1,0
56,184.46,6.0,1,0,9,90.0,2,0.59,0.19,10.536668733079406,23.59146377438363,12.505,41.896,0,0,0,0
57,238.7,3.0,0,0,10,93.0,0,0.74,0.26,16.052401116338974,36.471784773144016,12.49498,41.89707,0,0,0,0
58,126.72,4.0,0,1,10,93.0,1,1.02,0.36,12.273595230062622,24.982281163018897,12.50197,41.89168,0,1,0,0
59,103.8,2.0,0,1,9,93.0,1,3.53,0.46,13.223513065299924,31.59424110094351,12.46017,41.90543,0,1,0,0
60,126.72,3.0,1,0,9,91.0,1,3.07,0.78,4.073843625428273,11.505812893767285,12.538,41.908,0,1,0,0
61,167.16,2.0,1,0,9,82.0,1,0.82,0.63,10.271174112939937,29.15761895872588,12.49816,41.90756,0,1,0,0
62,172.77,2.0,1,0,10,84.0,1,0.89,0.64,10.551590615110818,27.252681162782327,12.497,41.90788,0,1,0,0
63,133.73,4.0,0,0,10,96.0,1,4.15,0.15,3.844629175734172,11.303782405215038,12.53077,41.87021,0,0,0,0
64,293.88,4.0,1,0,10,100.0,2,1.13,0.81,9.661491593715969,25.17928779034652,12.49734,41.91033,0,0,1,0
65,239.64,3.0,0,0,10,98.0,1,2.92,1.37,15.27941261938153,38.288526179296966,12.46714,41.899,0,0,1,0
66,86.5,2.0,0,1,9,90.0,1,0.23,0.28,12.753353242395344,30.84669784537375,12.501,41.899,0,1,0,0
67,172.77,4.0,1,0,10,96.0,2,1.79,0.85,6.211815499661911,16.52519589545623,12.50878,41.91622,0,0,1,0
68,195.92,4.0,0,1,6,40.0,1,2.35,0.18,4.730737095482374,12.912372527742171,12.52793,41.90973,0,1,0,0
69,161.55,2.0,1,0,10,100.0,1,2.2,0.66,5.371804074522316,14.367838486087084,12.513,41.919,0,1,0,0
70,170.67,3.0,1,0,10,97.0,1,2.42,0.53,4.931709119237175,13.037357007975336,12.52946,41.89315,0,0,1,0
71,253.66,2.0,1,0,9,97.0,1,2.93,1.36,15.173381591723937,37.96256300057633,12.467,41.899,0,0,1,0
72,172.77,3.0,0,1,6,60.0,1,2.39,0.15,4.686504687436228,12.719659384394898,12.5285,41.90974,0,1,0,0
73,126.72,2.0,0,1,8,73.0,1,2.42,0.1,4.652324237309789,12.941858462481438,12.52821,41.91074,0,1,0,0
74,126.72,2.0,0,1,10,80.0,1,2.45,0.15,4.636541560344512,12.451066279392268,12.5294,41.90951,0,1,0,0
75,265.12,2.0,1,0,10,100.0,1,1.2,0.81,10.662495752203332,25.222955783651475,12.49443,41.90991,0,1,0,0
76,92.11,2.0,1,0,10,95.0,1,1.2,0.13,9.113521336961124,20.773851475707197,12.508,41.891000000000005,0,1,0,0
77,297.38,3.0,0,1,10,87.0,1,2.43,0.96,19.065666628324564,42.44298039911161,12.473,41.902,0,0,0,0
78,161.55,2.0,0,1,10,97.0,1,3.65,0.48,7.122568599308707,20.02156835382664,12.47701,41.87395,0,1,1,0
79,210.88,2.0,0,1,10,93.0,4,0.68,0.12,14.10981678799983,32.41012502505115,12.49441,41.90275,0,1,0,0
80,343.44,4.0,1,0,8,80.0,1,1.41,0.26,17.261229377420218,35.53115936052591,12.4863,41.9052,0,1,0,0
81,75.05,2.0,1,0,9,95.0,1,4.7,0.94,2.9830967083412787,8.055091987054153,12.55836,41.90661,0,1,1,0
82,131.39,3.0,1,0,10,99.0,1,3.46,0.49,4.089594429098375,11.439656581961376,12.51653,41.9301,0,1,0,0
