,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
0,250.57,3.0,1,0,10,99.0,1,1.73,0.21,8.496978848776331,4.424871135625918,16.365,48.223,0,0,1,0
1,156.6,3.0,0,0,10,97.0,1,4.81,0.23,5.739643396150461,2.049380369753787,16.333560000000002,48.17459,0,0,0,0
2,283.06,5.0,0,1,10,95.0,2,2.81,0.24,7.250956955046468,3.618472920043242,16.336,48.211000000000006,0,0,1,0
3,301.76,4.0,0,1,10,94.0,2,3.24,0.61,6.62258809506262,3.1044889325921967,16.33006,48.20921,0,0,1,0
4,150.76,2.0,0,1,10,96.0,1,2.24,1.12,8.898738477111191,3.6898239495671095,16.38867,48.19104,0,0,1,0
5,162.45,2.0,1,0,10,99.0,1,4.61,0.2,3.729599484445128,1.805253730501952,16.39755,48.24682,0,1,1,0
6,196.34,3.0,0,1,9,91.0,1,2.37,0.45,8.981587654968383,4.939994334752319,16.34236,48.20436,0,0,1,0
7,107.75,2.0,0,0,8,92.0,1,3.63,0.47,4.473088060141057,2.2426182858426134,16.37837,48.24102,0,1,0,0
8,196.34,4.0,0,1,9,86.0,1,2.3,0.5,9.264223793995376,5.202166401321521,16.3434,48.20412,0,0,1,0
9,212.23,2.0,1,0,10,97.0,1,2.01,0.68,10.409301302854251,5.689300930854491,16.34682,48.2062,0,0,1,0
10,235.61,2.0,1,0,10,97.0,1,1.89,0.68,11.129902634818809,6.345149513383512,16.34843,48.20637,0,0,1,0
11,251.5,2.0,0,1,9,90.0,1,1.38,0.13,9.191889869439924,5.031186043316072,16.38027,48.22016,0,0,0,0
12,251.5,2.0,0,1,10,100.0,1,1.59,0.32,8.316342670277663,4.4180487439724665,16.38168,48.221790000000006,0,0,0,0
13,129.96,2.0,0,1,9,89.0,1,2.87,0.63,7.62446851310779,3.724605774376238,16.35247,48.18698,0,0,0,0
14,270.2,4.0,0,1,10,87.0,1,1.27,0.04,10.06726489190214,5.53438519799618,16.38021,48.21908,0,0,0,0
15,456.96,6.0,0,1,9,88.0,2,3.65,1.11,5.385328338615851,2.5728254965305326,16.3287,48.22165,0,0,0,0
16,300.35,4.0,0,1,10,97.0,1,1.35,0.35,10.402369932407046,5.225479363374476,16.39134,48.20589,0,0,1,0
17,155.44,2.0,1,0,10,88.0,1,1.65,0.24,11.936735546436882,6.259418232495085,16.366670000000003,48.19442,0,1,0,0
18,170.63,2.0,1,0,10,99.0,1,5.1,0.5,6.732134773975476,2.000687467274713,16.307489999999998,48.19626,0,0,1,0
19,463.97,2.0,0,0,10,100.0,1,1.23,0.47,11.516218446872369,5.97277462524548,16.384339999999998,48.20004,0,0,0,0
20,182.32,2.0,1,0,10,99.0,1,1.54,0.24,13.845477070518813,7.266240491414462,16.352999999999998,48.209,0,1,1,0
21,186.52,2.0,1,0,10,98.0,0,2.2,0.49,9.91925571057532,5.66794460390213,16.345879999999998,48.201640000000005,0,0,1,0
22,237.48,2.0,0,1,9,89.0,0,1.19,0.58,10.746803784215889,5.788194389317977,16.38937,48.21079,0,0,1,0
23,157.54,2.0,1,0,10,94.0,1,3.52,0.54,6.746193971714706,2.899298345536037,16.34423,48.18374,0,0,0,0
24,165.72,4.0,0,1,8,79.0,1,2.66,0.45,6.103392498904583,3.1523339351537643,16.35812,48.23008,0,0,0,0
25,204.29,2.0,1,0,10,96.0,1,1.97,0.58,9.62239090319598,4.898708913737789,16.34831,48.213840000000005,0,0,0,0
26,160.11,6.0,0,0,9,92.0,2,4.35,0.13,7.7467172893535805,2.485878962216506,16.327560000000002,48.184470000000005,0,0,0,0
27,693.5,4.0,0,1,9,88.0,1,3.19,0.58,7.018227360998711,3.2597430240930425,16.331,48.205,0,0,0,0
28,288.67,5.0,0,1,10,93.0,1,2.93,0.06,5.726703803763169,3.040723743973019,16.352999999999998,48.231,0,0,0,0
29,173.9,2.0,1,0,9,97.0,1,0.65,0.36,14.153303066884346,8.820123911201996,16.38198,48.21033,0,0,1,0
30,236.78,4.0,1,0,10,97.0,1,1.39,0.48,9.265312867782855,4.988279716411377,16.374000000000002,48.221,0,0,1,0
31,227.43,4.0,1,0,10,97.0,0,1.3,0.39,9.696253173718668,5.24610612749778,16.37367,48.22023,0,0,1,0
