,id,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0,4SPtyeZCNeiPsquKP8B8ip,https://api.spotify.com/v1/audio-analysis/4SPtyeZCNeiPsquKP8B8ip,0.481,0.188,7,-13.449,1,0.04,0.979,0.935,0.104,0.2,52.127,183776,4,1
1,7xi4NE5HjjIU4sjk2OP466,https://api.spotify.com/v1/audio-analysis/7xi4NE5HjjIU4sjk2OP466,0.348,0.159,7,-18.122,1,0.0339,0.978,0.973,0.112,0.29,106.682,220879,4,1
2,4WnBYBYzYhS2I838VTxhaN,https://api.spotify.com/v1/audio-analysis/4WnBYBYzYhS2I838VTxhaN,0.458,0.19,7,-16.454,1,0.0362,0.955,0.947,0.156,0.183,67.36,201515,4,1
3,1nsMASRDWwUwlBMmOuh80d,https://api.spotify.com/v1/audio-analysis/1nsMASRDWwUwlBMmOuh80d,0.475,0.138,5,-17.099,0,0.0424,0.965,0.884,0.0971,0.123,118.338,236785,4,1
4,1POSSxzIB7fLcHDDfbmjDZ,https://api.spotify.com/v1/audio-analysis/1POSSxzIB7fLcHDDfbmjDZ,0.508,0.126,0,-18.687,1,0.0422,0.947,0.902,0.366,0.095,117.126,273124,4,1
5,4Csbgu7LMDGPLjhPgHfQmZ,https://api.spotify.com/v1/audio-analysis/4Csbgu7LMDGPLjhPgHfQmZ,0.629,0.152,9,-18.659,0,0.04,0.967,0.904,0.109,0.0966,116.833,275743,4,1
6,4eaogpCx2UNkKylwlDNGJ7,https://api.spotify.com/v1/audio-analysis/4eaogpCx2UNkKylwlDNGJ7,0.415,0.148,8,-19.697,1,0.0355,0.988,0.958,0.129,0.303,54.914,152696,4,1
7,26UQyr3L71oAnXQIJf18gr,https://api.spotify.com/v1/audio-analysis/26UQyr3L71oAnXQIJf18gr,0.255,0.0745,0,-19.79,0,0.0395,0.863,0.128,0.133,0.179,75.936,178250,4,1
8,2nUhKiUfVdLcGmcdYHdjBw,https://api.spotify.com/v1/audio-analysis/2nUhKiUfVdLcGmcdYHdjBw,0.51,0.189,6,-15.775,1,0.0341,0.972,0.928,0.1,0.216,103.792,169863,4,1
9,6HZgxhesyOy8jkTiAFfQmR,https://api.spotify.com/v1/audio-analysis/6HZgxhesyOy8jkTiAFfQmR,0.538,0.14,9,-17.368,0,0.0393,0.937,0.893,0.324,0.195,86.259,160919,3,2
10,3HBNf1kBZB3Sn4idl26aJK,https://api.spotify.com/v1/audio-analysis/3HBNf1kBZB3Sn4idl26aJK,0.454,0.144,10,-15.696,1,0.0396,0.966,0.895,0.247,0.0977,122.556,133420,4,1
11,59VY0huVKd5pSuJLI9RrMO,https://api.spotify.com/v1/audio-analysis/59VY0huVKd5pSuJLI9RrMO,0.485,0.138,11,-19.272,1,0.0313,0.866,0.541,0.0885,0.105,108.871,170177,4,1
12,4zYPDHYsvTdUMMy8gRkBAA,https://api.spotify.com/v1/audio-analysis/4zYPDHYsvTdUMMy8gRkBAA,0.565,0.239,0,-16.679,1,0.0418,0.96,0.894,0.149,0.231,116.419,140648,4,1
13,6vtzBYf1I2Ozsdp94A2t5i,https://api.spotify.com/v1/audio-analysis/6vtzBYf1I2Ozsdp94A2t5i,0.362,0.17,0,-18.193,0,0.0338,0.936,0.879,0.109,0.156,107.442,291320,4,1
14,1uptgSNdSsDIVsdynJEoCe,https://api.spotify.com/v1/audio-analysis/1uptgSNdSsDIVsdynJEoCe,0.22,0.188,5,-19.148,0,0.036,0.958,0.945,0.106,0.215,56.781,214984,4,1
15,62FrtiVepyS9UGfcTPhu7W,https://api.spotify.com/v1/audio-analysis/62FrtiVepyS9UGfcTPhu7W,0.546,0.152,7,-17.08,0,0.0368,0.958,0.931,0.3,0.144,124.562,259680,4,1
16,79S9Ea6Q347UAPTIWnLmV2,https://api.spotify.com/v1/audio-analysis/79S9Ea6Q347UAPTIWnLmV2,0.582,0.123,7,-16.208,0,0.0364,0.928,0.589,0.121,0.0795,106.559,216759,4,1
17,3wMe1lySKxJeH9iMWXDqgx,https://api.spotify.com/v1/audio-analysis/3wMe1lySKxJeH9iMWXDqgx,0.466,0.0718,6,-19.581,1,0.0336,0.922,0.916,0.11,0.214,105.252,195276,4,1
18,2HriYFonV6QkhctkB8DMxY,https://api.spotify.com/v1/audio-analysis/2HriYFonV6QkhctkB8DMxY,0.422,0.196,8,-19.409,1,0.0371,0.979,0.931,0.101,0.148,110.754,215085,4,1
19,0Gyu7ttkfam04VeAgZEB3c,https://api.spotify.com/v1/audio-analysis/0Gyu7ttkfam04VeAgZEB3c,0.454,0.17,5,-18.568,0,0.0322,0.981,0.9,0.116,0.22,107.067,152100,4,1
20,11Ya486KvEdIaYgsT8cwsw,https://api.spotify.com/v1/audio-analysis/11Ya486KvEdIaYgsT8cwsw,0.314,0.146,0,-19.282,1,0.033,0.972,0.926,0.153,0.114,88.282,213037,3,2
21,561vqucx8o1kmktdzuScCJ,https://api.spotify.com/v1/audio-analysis/561vqucx8o1kmktdzuScCJ,0.523,0.0942,10,-16.722,1,0.0412,0.962,0.225,0.133,0.179,84.425,151163,4,1
22,4B7lJ0073KDXFgWXivllAd,https://api.spotify.com/v1/audio-analysis/4B7lJ0073KDXFgWXivllAd,0.356,0.083,6,-20.743,1,0.0397,0.968,0.922,0.108,0.175,79.064,158619,4,1
23,6pGvG8RMWD19UTLDPf5Gei,https://api.spotify.com/v1/audio-analysis/6pGvG8RMWD19UTLDPf5Gei,0.513,0.259,2,-12.537,1,0.0315,0.918,0.807,0.107,0.107,77.88,245682,3,2
24,69eesFTk1HKajniFSF2Z9n,https://api.spotify.com/v1/audio-analysis/69eesFTk1HKajniFSF2Z9n,0.515,0.166,9,-17.721,0,0.036,0.965,0.882,0.118,0.0779,62.718,192319,4,1
25,3al4xzBnTjTpcnZsfRiE0y,https://api.spotify.com/v1/audio-analysis/3al4xzBnTjTpcnZsfRiE0y,0.46,0.215,0,-14.197,0,0.0371,0.932,0.828,0.11,0.211,124.691,169612,4,1
26,6GqR4kbLTMfwJ2hFDZclMv,https://api.spotify.com/v1/audio-analysis/6GqR4kbLTMfwJ2hFDZclMv,0.483,0.192,9,-18.021,0,0.0368,0.904,0.839,0.0763,0.0714,110.554,179233,4,1
